CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
08,Barcelona,019,Barcelona,043,999,2024,4,25,21.4,V,25.3,V,26.3,V,26.4,V,27,V,24.7,V,20.7,V,17.9,V,19,V,18.8,V,19.1,V,17,V,16.9,V,18.9,V,17.4,V,17.4,V,17.2,V,17.1,V,17.7,V,19.3,V,19,V,17.9,V,20.9,V,21.5,V
08,Barcelona,019,Barcelona,043,999,2024,4,26,,N,26,V,28.8,V,25.9,V,22.6,V,19.3,V,20,V,19.1,V,16.6,V,16.4,V,16.6,V,18,V,18.3,V,17.2,V,23.8,V,23.3,V,22,V,18.3,V,17.1,V,16.8,V,15.8,V,12.8,V,16,V,19.8,V
08,Barcelona,019,Barcelona,043,999,2024,4,27,19.3,V,19.3,V,17.9,V,20.2,V,20.9,V,20.2,V,19.8,V,17.5,V,17.5,V,18,V,17.9,V,17.2,V,15.6,V,18.9,V,20.3,V,19.5,V,13.8,V,14.9,V,16.1,V,17.3,V,19.2,V,18.5,V,17.5,V,15.8,V
08,Barcelona,019,Barcelona,043,999,2024,4,28,18.4,V,15.9,V,12.7,V,18.7,V,19.1,V,19.9,V,23.2,V,21.4,V,23.7,V,23,V,17.7,V,14.5,V,17.8,V,18.2,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,999,2024,4,25,14.4,V,17.8,V,20.2,V,20.1,V,22.2,V,15.9,V,11.1,V,7.4,V,7.9,V,6.9,V,7.1,V,9.3,V,10.4,V,11.3,V,15,V,11.3,V,9.2,V,10.7,V,9.5,V,11.4,V,8.6,V,9.1,V,9.4,V,13.5,V
08,Barcelona,019,Barcelona,054,999,2024,4,26,,N,8.4,V,11.4,V,14.2,V,17.3,V,13.3,V,7.4,V,6.9,V,7.6,V,9.4,V,8.2,V,9.7,V,12.9,V,20,V,21.4,V,15,V,14.3,V,13,V,11,V,11.8,V,11,V,15.2,V,14.3,V,15.5,V
08,Barcelona,019,Barcelona,054,999,2024,4,27,11.8,V,8.4,V,9.4,V,9.7,V,8.8,V,8.5,V,7.5,V,6.5,V,7.3,V,7.1,V,7.6,V,6.2,V,7.3,V,6.7,V,5.5,V,12.5,V,11.8,V,10.7,V,9.5,V,15.5,V,13.3,V,13.4,V,13.4,V,8.5,V
08,Barcelona,019,Barcelona,054,999,2024,4,28,7.5,V,7.8,V,8.1,V,8,V,8,V,7.7,V,13.4,V,17.3,V,20.6,V,27.3,V,27,V,18.5,V,19.8,V,24.6,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,22,2024,4,25,1101,V,815,V,647,V,987,V,471,V,543,V,596,V,739,V,865,V,928,V,905,V,1049,V,1052,V,874,V,883,V,746,V,691,V,878,V,872,V,681,V,1009,V,835,V,861,V,789,V
08,Barcelona,019,Barcelona,043,22,2024,4,26,,N,425,V,434,V,419,V,488,V,458,V,887,V,1333,V,1491,V,1283,V,1630,V,1613,V,2047,V,1004,V,917,V,1103,V,1377,V,1222,V,1725,V,1821,V,1810,V,1918,V,1533,V,719,V
08,Barcelona,019,Barcelona,043,22,2024,4,27,808,V,539,V,519,V,389,V,325,V,444,V,520,V,512,V,938,V,1171,V,733,V,1085,V,1430,V,1823,V,1386,V,1469,V,1530,V,1327,V,1419,V,1420,V,715,V,1586,V,2354,V,1433,V
