,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,latitude,longitude,resolvedAddress,address,timezone,tzoffset,severerisk
0,2024-01-01,1704063600,13.4,4.8,7.8,13.4,3.0,6.9,3.7,76.0,0.0,0.0,0.0,,0.0,0.0,37.1,11.6,335.1,1018.8,47.7,13.4,26.5,2.3,1.0,08:17:52,1704093472,17:32:09,1704126729,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['LEBL', 'LEGE', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
1,2024-01-02,1704150000,14.6,3.2,9.7,14.6,1.8,8.9,1.3,57.9,0.0,0.0,0.0,,0.0,0.0,32.0,27.2,265.1,1017.7,40.0,14.1,37.9,3.3,2.0,08:17:58,1704179878,17:33:00,1704213180,0.71,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
2,2024-01-03,1704236400,17.1,11.9,14.5,17.1,11.9,14.5,7.6,63.6,0.0,0.0,0.0,,0.0,0.0,23.0,17.4,265.1,1014.3,45.2,14.5,31.3,2.5,1.0,08:18:02,1704266282,17:33:53,1704299633,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
3,2024-01-04,1704322800,15.5,7.2,10.9,15.5,5.2,10.5,8.0,82.5,0.0,0.0,0.0,,0.0,0.0,42.5,11.0,345.6,1014.7,50.5,11.6,38.5,3.4,3.0,08:18:04,1704352684,17:34:47,1704386087,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
4,2024-01-05,1704409200,13.4,8.3,10.6,13.4,6.6,10.2,7.4,81.3,0.194,100.0,4.17,['rain'],0.0,0.0,53.6,16.6,340.2,1004.0,85.4,12.0,26.8,2.4,2.0,08:18:03,1704439083,17:35:43,1704472543,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
5,2024-01-06,1704495600,14.2,5.1,9.1,14.2,3.2,7.8,0.8,59.4,11.647,100.0,4.17,['rain'],0.0,0.0,45.7,24.2,298.4,1007.2,33.3,15.2,18.7,1.6,1.0,08:18:00,1704525480,17:36:40,1704559000,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
6,2024-01-07,1704582000,13.5,4.3,8.7,13.5,0.9,6.7,-5.6,38.7,0.0,0.0,0.0,,0.0,0.0,53.6,31.1,303.7,1011.0,11.7,14.7,21.6,1.9,2.0,08:17:55,1704611875,17:37:38,1704645458,0.87,Clear,Clear conditions throughout the day.,clear-day,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
7,2024-01-08,1704668400,12.0,2.2,6.7,12.0,0.1,5.1,-5.7,42.1,0.0,0.0,0.0,,0.0,0.0,38.9,18.2,325.9,1014.7,2.1,14.3,16.0,1.5,1.0,08:17:47,1704698267,17:38:38,1704731918,0.9,Clear,Clear conditions throughout the day.,clear-day,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
8,2024-01-09,1704754800,11.3,-0.1,4.8,11.3,-4.3,2.7,-0.4,69.8,0.0,0.0,0.0,,0.0,0.0,24.5,14.0,335.3,1020.0,34.7,14.2,41.3,3.7,2.0,08:17:37,1704784657,17:39:40,1704818380,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LEBL', 'LEGE', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
9,2024-01-10,1704841200,9.4,4.3,6.4,8.4,2.4,5.1,4.1,85.0,0.0,0.0,0.0,,0.0,0.0,37.1,10.1,335.7,1018.6,67.3,10.3,21.4,2.0,2.0,08:17:25,1704871045,17:40:42,1704904842,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
10,2024-01-11,1704927600,11.4,3.8,7.2,11.4,1.4,5.6,3.5,78.6,2.97,100.0,8.33,['rain'],0.0,0.0,40.7,14.6,305.1,1019.6,77.7,12.4,41.0,3.6,2.0,08:17:10,1704957430,17:41:46,1704991306,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
11,2024-01-12,1705014000,11.5,3.3,6.5,11.5,0.1,4.4,1.5,71.3,0.032,100.0,4.17,['rain'],0.0,0.0,51.8,17.9,306.4,1024.5,31.4,14.3,30.8,2.7,2.0,08:16:53,1705043813,17:42:50,1705077770,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
12,2024-01-13,1705100400,12.7,1.0,6.5,12.7,-2.1,4.8,0.9,69.0,0.035,100.0,4.17,"['rain', 'snow']",0.0,0.0,40.7,15.9,294.4,1023.3,15.2,13.6,33.0,2.9,2.0,08:16:34,1705130194,17:43:56,1705164236,0.07,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
13,2024-01-14,1705186800,15.3,5.3,10.6,15.3,3.7,9.8,2.8,59.1,0.0,0.0,0.0,,0.0,0.0,23.4,19.9,309.4,1014.4,50.9,14.5,49.8,4.2,3.0,08:16:13,1705216573,17:45:03,1705250703,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
14,2024-01-15,1705273200,16.4,6.8,11.5,16.4,4.7,10.8,6.9,73.8,0.0,0.0,0.0,,0.0,0.0,48.2,16.6,313.7,1009.5,50.8,13.5,45.0,3.9,2.0,08:15:49,1705302949,17:46:11,1705337171,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LEBL', 'AR110', '08184099999', 'LELL', '08181099999', '08176399999']",obs,41.4150674,2.1074824,"41.4150674,2.1074824","41.4150674,2.1074824",Europe/Madrid,1.0,
